Date,Product,Sales/Usage,Production,Purchase Quantity,Current Stock,Previous Demand,Future Demand
2022-12-01,Raw Cotton,379.93,373.8,102.59,480.51,443.51,282.36
2023-01-01,Cotton Yarn,343.3,274.76,53.02,288.17,359.37,312.33
2023-02-01,Cotton Fabric,336.59,287.66,85.14,454.33,309.05,236.29
2023-03-01,Cotton Thread,197.97,190.97,67.56,283.99,235.91,166.11
2023-04-01,Cotton Waste,65.84,83.04,33.4,17.68,63.93,61.77
2023-05-01,Raw Cotton,444.4,494.55,143.75,517.19,437.63,359.26
2023-06-01,Cotton Yarn,308.9,281.84,74.62,226.73,333.27,253.31
2023-07-01,Cotton Fabric,217.96,221.48,97.85,355.15,282.11,196.43
2023-08-01,Cotton Thread,148.71,213.87,25.4,251.54,161.83,127.64
2023-09-01,Cotton Waste,85.69,71.8,0.0,158.97,79.08,51.48
2023-10-01,Raw Cotton,401.7,412.2,118.06,329.6,396.49,333.52
2023-11-01,Cotton Yarn,292.69,342.84,63.41,273.73,286.31,243.88
2023-12-01,Cotton Fabric,273.29,224.46,102.65,123.96,282.96,233.75
2021-01-01,Cotton Thread,200.95,146.51,74.44,165.3,237.53,219.86
2021-02-01,Cotton Waste,93.97,79.88,15.57,79.22,84.69,45.32
2021-03-01,Raw Cotton,445.56,407.13,122.78,689.77,486.73,388.31
2021-04-01,Cotton Yarn,419.41,314.87,29.52,325.77,376.66,285.17
2021-05-01,Cotton Fabric,267.17,282.69,66.14,200.57,276.94,241.12
2021-06-01,Cotton Thread,161.65,146.27,39.83,100.65,180.97,167.63
2021-07-01,Cotton Waste,45.32,90.17,50.57,120.78,82.14,57.35
2021-08-01,Raw Cotton,358.87,345.46,51.31,587.99,377.28,291.42
2021-09-01,Cotton Yarn,255.41,313.49,27.87,345.5,280.79,216.82
2021-10-01,Cotton Fabric,284.22,226.34,28.29,301.57,287.73,260.36
2021-11-01,Cotton Thread,180.57,150.44,17.3,218.94,223.64,146.16
2021-12-01,Cotton Waste,88.45,93.37,36.45,15.53,93.72,72.42
2022-01-01,Raw Cotton,391.18,406.17,187.17,378.04,454.33,329.19
2022-02-01,Cotton Yarn,286.02,264.02,38.52,470.33,341.13,231.71
2022-03-01,Cotton Fabric,269.79,264.44,104.93,148.74,291.61,203.54
2022-04-01,Cotton Thread,146.64,218.76,58.87,129.71,153.5,141.42
2022-05-01,Cotton Waste,85.35,52.96,23.49,65.34,80.98,64.62
2022-06-01,Raw Cotton,396.53,431.58,74.89,433.22,434.26,329.43
2022-07-01,Cotton Yarn,225.57,329.88,81.08,367.02,265.01,217.17
2022-08-01,Cotton Fabric,205.31,286.67,32.66,384.49,249.94,171.5
2022-09-01,Cotton Thread,186.34,172.28,43.81,224.32,183.75,135.71
2022-10-01,Cotton Waste,114.45,53.19,31.92,52.62,121.15,70.15
2022-11-01,Raw Cotton,371.39,349.11,125.63,492.91,394.22,277.65
2022-12-01,Cotton Yarn,260.75,317.2,132.59,323.08,313.46,223.55
2023-01-01,Cotton Fabric,296.0,236.75,112.67,289.15,327.62,244.8
2023-02-01,Cotton Thread,220.4,143.89,19.38,132.46,219.15,175.08
2023-03-01,Cotton Waste,61.21,59.61,41.84,173.04,61.08,53.25
2023-04-01,Raw Cotton,499.89,389.37,20.71,744.7,480.09,371.42
2023-05-01,Cotton Yarn,296.52,263.13,131.28,489.47,331.49,239.48
2023-06-01,Cotton Fabric,255.6,272.6,132.84,221.01,267.32,198.89
2023-07-01,Cotton Thread,232.97,215.77,54.24,142.72,211.82,188.03
2023-08-01,Cotton Waste,107.33,39.36,18.95,82.59,85.08,89.9
2023-09-01,Raw Cotton,339.24,486.22,32.46,379.27,342.44,293.8
2023-10-01,Cotton Yarn,292.69,270.53,30.88,263.75,291.14,235.11
2023-11-01,Cotton Fabric,280.83,333.08,125.91,245.16,279.49,269.87
2023-12-01,Cotton Thread,229.38,192.92,40.21,218.52,214.89,186.68
2021-01-01,Cotton Waste,128.29,81.97,0.0,98.05,118.43,86.45
2021-02-01,Raw Cotton,382.33,387.03,137.88,529.53,389.76,344.07
2021-03-01,Cotton Yarn,422.05,264.04,97.32,327.47,407.51,356.52
2021-04-01,Cotton Fabric,287.75,266.56,61.06,403.8,311.37,213.66
2021-05-01,Cotton Thread,125.43,171.97,30.01,285.62,167.39,151.26
2021-06-01,Cotton Waste,66.55,87.34,40.24,99.1,53.57,63.57
2021-07-01,Raw Cotton,311.55,362.51,100.58,229.96,360.47,286.69
2021-08-01,Cotton Yarn,261.3,336.45,68.09,364.31,266.95,182.05
2021-09-01,Cotton Fabric,222.77,233.43,23.96,227.29,245.32,176.78
2021-10-01,Cotton Thread,177.24,163.22,74.86,294.21,203.06,168.47
2021-11-01,Cotton Waste,83.25,86.63,10.4,35.93,80.34,79.2
2021-12-01,Raw Cotton,425.73,468.41,87.22,510.03,377.82,291.53
2022-01-01,Cotton Yarn,300.52,258.29,137.42,461.41,329.72,235.1
2022-02-01,Cotton Fabric,336.86,307.13,76.14,213.3,328.39,249.47
2022-03-01,Cotton Thread,183.01,156.33,68.01,244.11,216.85,158.57
2022-04-01,Cotton Waste,139.03,71.67,25.22,46.27,125.07,64.28
2022-05-01,Raw Cotton,402.75,364.12,120.14,690.87,468.77,343.63
2022-06-01,Cotton Yarn,284.16,360.02,61.25,285.75,335.97,266.51
2022-07-01,Cotton Fabric,278.48,233.02,43.47,453.29,268.08,252.58
2022-08-01,Cotton Thread,107.12,154.72,83.11,321.01,125.83,55.9
2022-09-01,Cotton Waste,112.05,62.73,31.65,151.19,118.96,58.47
2022-10-01,Raw Cotton,417.46,439.79,141.36,250.12,400.7,339.1
2022-11-01,Cotton Yarn,296.32,334.46,55.5,422.14,307.22,215.48
2022-12-01,Cotton Fabric,318.94,348.06,52.2,336.56,289.71,232.49
2023-01-01,Cotton Thread,220.24,196.27,85.6,162.42,207.0,146.39
2023-02-01,Cotton Waste,114.26,41.3,23.68,77.71,124.07,100.27
2023-03-01,Raw Cotton,376.67,452.25,145.09,621.3,456.94,318.73
2023-04-01,Cotton Yarn,411.51,279.34,137.1,349.01,374.55,308.39
2023-05-01,Cotton Fabric,325.75,227.93,77.61,324.18,344.37,243.68
2023-06-01,Cotton Thread,198.35,130.3,0.0,161.51,193.16,167.07
2023-07-01,Cotton Waste,83.74,93.96,35.89,65.54,87.04,62.92
2023-08-01,Raw Cotton,373.62,440.79,64.52,589.32,399.22,318.74
2023-09-01,Cotton Yarn,231.49,301.14,100.01,271.56,271.03,228.62
2023-10-01,Cotton Fabric,288.95,275.87,82.35,337.39,266.62,202.26
2023-11-01,Cotton Thread,157.54,224.07,23.78,223.78,174.99,116.78
2023-12-01,Cotton Waste,133.71,87.67,43.72,58.77,132.65,66.75
2021-01-01,Raw Cotton,413.43,435.87,63.57,276.37,420.61,345.13
2021-02-01,Cotton Yarn,356.69,314.43,135.41,418.47,356.78,277.02
2021-03-01,Cotton Fabric,285.62,303.83,110.21,414.68,303.36,240.17
2021-04-01,Cotton Thread,180.62,229.13,46.4,307.38,209.57,177.37
2021-05-01,Cotton Waste,123.67,110.2,37.24,132.0,111.51,74.54
2021-06-01,Raw Cotton,416.7,409.28,136.05,382.98,430.37,356.82
2021-07-01,Cotton Yarn,230.87,320.09,27.23,250.54,272.77,205.95
2021-08-01,Cotton Fabric,215.04,231.04,14.64,258.95,267.7,216.76
2021-09-01,Cotton Thread,204.75,167.27,54.09,130.56,192.8,148.44
2021-10-01,Cotton Waste,32.29,110.06,0.0,91.61,50.79,31.93
2021-11-01,Raw Cotton,374.39,413.45,163.68,258.26,397.34,304.64
2021-12-01,Cotton Yarn,222.48,311.2,26.91,542.43,276.1,206.95
2022-01-01,Cotton Fabric,297.38,213.9,127.89,459.11,293.55,233.61
2022-02-01,Cotton Thread,97.45,190.29,3.58,145.88,136.82,71.48
2022-03-01,Cotton Waste,108.59,81.47,26.57,60.3,129.02,81.72
2022-04-01,Raw Cotton,453.72,352.86,51.99,654.78,495.99,342.28
2022-05-01,Cotton Yarn,232.07,313.46,49.92,459.6,295.29,184.89
2022-06-01,Cotton Fabric,239.55,234.6,79.86,406.06,263.65,192.59
2022-07-01,Cotton Thread,178.3,161.05,52.58,203.01,172.7,139.93
2022-08-01,Cotton Waste,122.11,75.03,19.3,73.0,123.06,95.61
2022-09-01,Raw Cotton,350.49,381.24,75.45,602.42,363.3,283.13
2022-10-01,Cotton Yarn,330.49,342.01,165.72,181.43,319.83,278.64
2022-11-01,Cotton Fabric,258.02,191.68,115.89,337.38,269.5,215.53
2022-12-01,Cotton Thread,204.14,166.05,47.42,187.36,189.75,156.11
2023-01-01,Cotton Waste,80.07,29.97,12.8,127.84,93.66,73.64
2023-02-01,Raw Cotton,427.12,438.62,137.9,413.47,453.72,388.65
2023-03-01,Cotton Yarn,308.42,326.3,121.84,164.66,350.51,294.77
2023-04-01,Cotton Fabric,386.6,284.73,74.7,338.08,380.53,325.73
2023-05-01,Cotton Thread,195.14,172.37,16.94,149.48,208.22,137.93
2023-06-01,Cotton Waste,36.82,73.3,0.0,90.48,40.56,38.46
2023-07-01,Raw Cotton,384.35,457.58,102.79,597.2,365.96,309.38
2023-08-01,Cotton Yarn,280.08,361.64,117.46,552.0,299.0,205.5
2023-09-01,Cotton Fabric,186.09,318.02,100.39,252.55,228.55,189.62
2023-10-01,Cotton Thread,177.47,173.51,32.63,205.76,193.04,148.02
2023-11-01,Cotton Waste,56.76,112.27,29.94,135.74,64.37,89.56
2023-12-01,Raw Cotton,430.35,341.56,53.39,490.67,410.55,317.13
2021-01-01,Cotton Yarn,394.83,237.72,119.83,356.63,417.4,325.58
2021-02-01,Cotton Fabric,308.94,235.25,87.94,272.82,287.93,217.98
2021-03-01,Cotton Thread,239.2,199.3,71.29,149.94,245.33,177.63
2021-04-01,Cotton Waste,83.89,84.59,14.15,166.71,91.86,71.08
2021-05-01,Raw Cotton,404.45,448.98,98.92,500.22,398.64,307.57
2021-06-01,Cotton Yarn,272.38,268.3,96.68,287.22,305.02,230.87
2021-07-01,Cotton Fabric,271.21,255.87,110.22,303.51,265.47,230.03
2021-08-01,Cotton Thread,160.58,151.6,40.29,284.67,202.55,129.6
2021-09-01,Cotton Waste,71.33,71.43,38.52,123.96,81.35,43.45
2021-10-01,Raw Cotton,334.12,328.84,138.56,387.67,344.18,259.84
2021-11-01,Cotton Yarn,253.73,223.85,21.54,409.78,275.36,200.67
2021-12-01,Cotton Fabric,293.36,249.61,75.3,368.15,296.88,217.18
2022-01-01,Cotton Thread,183.34,173.66,45.41,305.4,204.86,133.49
2022-02-01,Cotton Waste,98.34,77.33,5.07,128.42,115.13,82.41
2022-03-01,Raw Cotton,431.83,434.74,94.74,275.58,498.02,400.47
2022-04-01,Cotton Yarn,366.89,301.91,120.7,175.06,394.36,295.18
2022-05-01,Cotton Fabric,223.64,327.25,85.57,225.63,227.73,197.54
2022-06-01,Cotton Thread,241.48,185.48,68.12,223.52,224.22,201.65
2022-07-01,Cotton Waste,71.52,32.54,28.21,89.89,113.11,47.15
2022-08-01,Raw Cotton,308.91,483.27,41.13,307.51,382.87,293.83
2022-09-01,Cotton Yarn,206.43,365.36,59.54,402.88,239.03,198.71
2022-10-01,Cotton Fabric,248.76,238.32,61.82,476.12,249.97,174.05
2022-11-01,Cotton Thread,193.34,170.19,39.0,269.68,169.79,134.91
2022-12-01,Cotton Waste,69.39,100.75,29.92,118.71,87.13,78.1
2023-01-01,Raw Cotton,375.96,434.75,146.09,532.78,406.88,329.13
2023-02-01,Cotton Yarn,299.32,309.33,62.13,380.71,322.8,263.56
2023-03-01,Cotton Fabric,318.4,225.72,44.6,335.19,320.63,270.04
2023-04-01,Cotton Thread,182.31,170.81,42.63,236.65,167.18,131.53
2023-05-01,Cotton Waste,112.97,111.85,38.29,36.88,134.15,120.06
2023-06-01,Raw Cotton,359.94,422.04,100.51,659.52,394.54,308.31
2023-07-01,Cotton Yarn,260.02,301.61,115.89,466.27,285.91,212.32
2023-08-01,Cotton Fabric,276.33,294.47,38.91,153.76,264.43,200.6
2023-09-01,Cotton Thread,135.13,149.69,60.26,219.81,163.33,113.59
2023-10-01,Cotton Waste,82.8,51.95,36.66,92.74,88.84,52.38
2023-11-01,Raw Cotton,366.25,396.14,110.95,349.78,400.24,313.79
2023-12-01,Cotton Yarn,312.26,303.02,80.94,509.95,350.38,278.77
2021-01-01,Cotton Fabric,288.01,235.13,108.23,331.25,310.63,231.19
2021-02-01,Cotton Thread,167.32,214.71,52.01,293.65,194.71,119.41
2021-03-01,Cotton Waste,96.99,129.42,10.67,124.58,95.42,69.92
2021-04-01,Raw Cotton,458.17,450.64,31.46,615.47,492.35,381.7
2021-05-01,Cotton Yarn,395.03,343.16,110.11,285.66,365.58,275.76
2021-06-01,Cotton Fabric,265.26,257.34,96.0,324.96,292.49,246.39
2021-07-01,Cotton Thread,228.18,240.24,69.02,208.81,215.85,151.19
2021-08-01,Cotton Waste,89.23,87.33,31.76,67.57,92.38,94.43
2021-09-01,Raw Cotton,363.65,439.22,177.9,675.48,403.91,314.33
2021-10-01,Cotton Yarn,349.68,311.64,104.91,523.32,311.31,222.86
2021-11-01,Cotton Fabric,271.02,254.77,30.78,394.76,289.16,230.47
2021-12-01,Cotton Thread,157.44,166.88,37.22,230.15,156.73,111.61
2022-01-01,Cotton Waste,116.15,99.73,23.61,160.31,136.83,85.77
2022-02-01,Raw Cotton,428.96,374.35,201.3,235.94,462.59,376.96
2022-03-01,Cotton Yarn,339.19,329.46,76.45,252.08,354.97,286.05
2022-04-01,Cotton Fabric,303.45,284.27,63.32,134.4,368.92,274.32
2022-05-01,Cotton Thread,185.61,128.59,70.56,173.81,212.65,156.78
2022-06-01,Cotton Waste,88.21,85.29,15.42,131.71,73.61,33.48
2022-07-01,Raw Cotton,348.86,358.61,57.35,448.49,406.15,321.83
2022-08-01,Cotton Yarn,244.93,348.62,142.75,431.72,247.96,211.19
2022-09-01,Cotton Fabric,176.91,238.86,61.76,337.41,224.85,169.03
2022-10-01,Cotton Thread,184.39,174.99,59.6,161.33,167.42,157.62
2022-11-01,Cotton Waste,72.11,77.95,24.78,136.62,57.45,79.07
2022-12-01,Raw Cotton,377.56,438.24,121.46,540.87,388.39,348.09
2023-01-01,Cotton Yarn,329.27,230.06,73.82,226.48,384.6,280.24
2023-02-01,Cotton Fabric,267.51,269.93,66.46,445.66,327.84,246.92
2023-03-01,Cotton Thread,231.27,210.46,17.89,304.26,234.6,193.31
2023-04-01,Cotton Waste,129.66,85.97,45.85,42.02,118.6,106.33
2023-05-01,Raw Cotton,363.2,425.54,32.92,404.07,419.93,309.47
2023-06-01,Cotton Yarn,286.67,352.93,81.59,327.79,318.76,259.15
2023-07-01,Cotton Fabric,240.92,234.85,119.54,293.0,247.11,200.85
2023-08-01,Cotton Thread,114.68,161.1,3.15,140.66,135.85,115.93
2023-09-01,Cotton Waste,91.6,80.29,7.67,193.79,100.28,44.8
2023-10-01,Raw Cotton,381.59,328.78,90.28,657.88,438.7,334.48
2023-11-01,Cotton Yarn,321.71,267.71,78.91,213.9,312.08,265.25
2023-12-01,Cotton Fabric,279.04,302.9,112.3,161.75,304.4,239.11
2021-01-01,Cotton Thread,181.97,238.92,47.4,191.02,179.16,151.23
2021-02-01,Cotton Waste,99.01,36.25,0.0,52.72,113.66,67.09
2021-03-01,Raw Cotton,456.81,459.6,171.69,597.33,480.31,368.34
2021-04-01,Cotton Yarn,328.1,237.0,129.99,389.13,355.98,252.89
2021-05-01,Cotton Fabric,266.44,219.32,87.39,435.06,317.01,206.97
2021-06-01,Cotton Thread,227.19,163.79,53.98,274.36,203.6,147.02
2021-07-01,Cotton Waste,106.09,76.23,44.87,109.39,107.4,61.92
2021-08-01,Raw Cotton,332.79,349.26,87.93,603.97,368.56,267.78
2021-09-01,Cotton Yarn,245.74,333.9,136.61,445.89,271.63,225.04
2021-10-01,Cotton Fabric,245.44,228.41,71.6,337.91,280.13,209.51
2021-11-01,Cotton Thread,175.95,174.55,14.74,186.29,183.21,131.55
2021-12-01,Cotton Waste,127.96,88.11,39.2,74.0,140.79,104.99
